no,kode_nama,kode,no_urut,program_studi,status_kepegawaian,jfa,dik_diakui,lit_diakui,abdimas_diakui,penunjang,prof_diakui,total_sks,pemenuhan_tridarma,cluster,PC1_1d,PC1_2d,PC2_2d,PC1_3d,PC2_3d,PC3_3d
118,S2TI-021,S2TI,21,PRODI S2 TEKNIK INDUSTRI (FRI) (2019),DOSEN PEGAWAI TETAP,LK,8.04,3.25,3.1,2.5,0.0,39.88,MEMENUHI,2,4.249064254187761,4.249064254187761,-2.528522126503921,4.249064254187761,-2.528522126503921,0.1978610650280976
123,S2TI-022,S2TI,22,PRODI S2 TEKNIK INDUSTRI (FRI) (2019),DOSEN PEGAWAI TETAP,LK,5.891666666666669,7.000000000000001,1.3,5.16666666666666,0.0,51.56666666666666,MEMENUHI,2,5.82222039587949,5.82222039587949,1.53523014573332,5.82222039587949,1.53523014573332,2.0285846904210167
126,S2TI-023,S2TI,23,PRODI S2 TEKNIK INDUSTRI (FRI) (2019),DOSEN PEGAWAI TETAP,L,8.424999999999994,3.5,0.2,5.0,0.0,48.24999999999999,TDK MEMENUHI,2,5.459354005262812,5.459354005262812,-1.3592757295392832,5.459354005262812,-1.3592757295392832,-1.3033929465696386
31,S2TI-024,S2TI,24,PRODI S2 TEKNIK INDUSTRI (FRI) (2019),DOSEN PEGAWAI TETAP,L,4.466666666666663,5.915,1.05,5.83333333333335,0.0,44.08000000000003,MEMENUHI,2,4.6766230917800256,4.6766230917800256,2.716527207685155,4.6766230917800256,2.716527207685155,1.025378171181028
29,S2TI-026,S2TI,26,PRODI S2 TEKNIK INDUSTRI (FRI) (2019),DOSEN PEGAWAI TETAP,AA,5.293333333333326,5.25,0.85,2.75,0.0,40.886666666666656,MEMENUHI,2,3.1676498455018356,3.1676498455018356,-0.012132856820356794,3.1676498455018356,-0.012132856820356794,1.9858908281816174
66,S2TI-027,S2TI,27,PRODI S2 TEKNIK INDUSTRI (FRI) (2019),DOSEN PROFESIONAL FULL TIME,LK,0.0,1.0,1.4,0.5,0.0,3.9000000000000004,TDK MEMENUHI,0,-3.50773672627127,-3.50773672627127,1.4344288920785047,-3.50773672627127,1.4344288920785047,0.7875173692382705
106,S1TI-011,S1TI,11,PRODI S1 TEKNIK INDUSTRI (FRI) (2019),DOSEN CALON PEGAWAI TETAP,NJFA,2.9899999999999967,4.25,1.35,3.333333333333335,0.0,49.94666666666667,MEMENUHI,2,1.5823119437849746,1.5823119437849746,1.8296589863749424,1.5823119437849746,1.8296589863749424,1.3316935913025498
64,S1TI-012,S1TI,12,PRODI S1 TEKNIK INDUSTRI (FRI) (2019),DOSEN PROFESIONAL FULL TIME,L,4.558333333333335,12.125,2.35,1.5,0.0,55.16666666666667,MEMENUHI,2,5.665243106232793,5.665243106232793,1.527881356573347,5.665243106232793,1.527881356573347,8.535728360051587
20,S1TI-013,S1TI,13,PRODI S1 TEKNIK INDUSTRI (FRI) (2019),DOSEN PEGAWAI TETAP,L,0.9999999999999991,2.2499999999999996,0.75,1.75,0.0,25.5,MEMENUHI,0,-1.6755569184626797,-1.6755569184626797,1.7565179645286968,-1.6755569184626797,1.7565179645286968,0.8777617371761659
38,S1TI-014,S1TI,14,PRODI S1 TEKNIK INDUSTRI (FRI) (2019),DOSEN PEGAWAI TETAP,L,6.985000000000005,6.415,2.25,2.75,0.0,46.35000000000001,MEMENUHI,2,5.100840653313965,5.100840653313965,-0.8735701661190141,5.100840653313965,-0.8735701661190141,2.7518678556930305
